system,product,event_type,event_date,body,outcome,detail,amount,currency,stated_reason_verbatim,source_doc,source_url,fetched_date,status,notes
United States,Elevidys,commercial-coverage,,Sarepta Therapeutics,not-found,"EDGAR full-text searches of Sarepta 8-K, 10-K and 10-Q filings (2023-2026) for ""covered lives"", ""coverage policies"" and ""lives"" with ELEVIDYS returned no numeric coverage statement.",,,,EDGAR full-text search (efts.sec.gov),https://efts.sec.gov/LATEST/search-index?q=%22ELEVIDYS%22%20%22lives%22&ciks=0000873303,2026-09-06,not-found,Sarepta investor decks may state payer policy counts; not retrieved.
United States,Casgevy,commercial-coverage,2026-02-12,Vertex Pharmaceuticals,covered,US reimbursed access at end of 2025.,90,percent of US patients,"As of the end of 2025, approximately 90 percent of patients in the U.S. have reimbursed access to CASGEVY, which is also reimbursed in the U.K., Italy, Austria, Denmark, Luxembourg, KSA, Bahrain, UAE, and Kuwait.","Vertex 8-K exhibit 99.1, Q4 2025 results",https://www.sec.gov/Archives/edgar/data/875320/000087532026000034/ex-991_q42025.htm,2026-09-06,verified-from-source,"Same release: ""64 patients receiving infusions of CASGEVY in 2025, including 30 people infused in the fourth quarter of 2025"" and ""in 2025, 147 people with SCD or TDT had their first cell collection""."
United States,Aucatzyl,commercial-coverage,2025-11-12,Autolus Therapeutics,covered,Payer access one year after approval.,90,percent of US covered lives,Attained patient access for >90% of U.S. covered lives,"Autolus 8-K exhibit 99.2 (corporate presentation), 12 November 2025",https://www.sec.gov/Archives/edgar/data/1730463/000173046325000081/autlex-992cp121125.htm,2026-09-06,verified-from-source,"Same deck: ""60 authorized treatment centers"" and ""Manufacturing success rate >90%""."
United States,Amtagvi,commercial-coverage,2024-02-29,Iovance Biotherapeutics,stated,Pre-launch payer engagement statement in investor presentation.,90,percent of covered lives (payers engaged),Engagement with payers responsible for ~90% of covered lives,"Iovance 8-K exhibit 99.1 (presentation), 29 February 2024",https://www.sec.gov/Archives/edgar/data/1425205/000110465924029057/tm247560d1_ex99-1.htm,2026-09-06,verified-from-source,"Statement of engagement, not of coverage decisions."
United States,CAR-T class,commercial-coverage,,Kite / Bristol Myers Squibb,not-found,"No sponsor statement of covered lives or payer coverage counts for Yescarta, Tecartus, Breyanzi or Abecma was found in Gilead or BMS 8-K/10-K filings searched.",,,,EDGAR full-text search (efts.sec.gov),"https://efts.sec.gov/LATEST/search-index?q=%22covered%20lives%22&ciks=0000882095,0000014272",2026-09-06,not-found,"BMS Q3 2025 deck ""~80% of covered lives with zero step edits"" refers to Cobenfy, not a cell therapy."
United States,gene therapy class,commercial-coverage,2019-09-05,"Cigna (Express Scripts, eviCore, Accredo, CuraScript SD)",started,Embarc Benefit Protection: employer and health-plan carve-out/stop-loss style programme covering the cost of Luxturna and Zolgensma with no patient out-of-pocket cost for the medicine.,,,Consumers will have no out of pocket payments related to the cost of the medicine and will receive personalized and expert care to assist them through their health journey.,Cigna press release 5 September 2019,https://newsroom.thecignagroup.com/cigna-health-services-business-pioneers-an-innovative-solution-to-affordably-bring-life-changing-therapies-to-patients,2026-09-06,verified-from-source,"Secondary reports (Fierce Healthcare, MedCity) state participating plans pay ""less than $1 per participant per month""; the figure is not in the press release as read."
United States,CAR-T class,survey-finding,2024-11-01,"Hu, Vaidya et al., Transplant Cell Ther 2024",stated,"Two-centre real-world study of r/r DLBCL CAR-T referrals (142 referred, 99 treated): median decision-to-vein 62 days vs vein-to-vein 32 days; private insurance financial clearance median 25 vs 9 days for government insurance; 35 percent of privately insured needed a single-case agreement (50.5 vs 19 days).",62,days decision-to-vein (median),"Median decision-to-vein time was 62 days compared to median vein-to-vein time of 32 days. Patients with private insurance took longer to obtain financial clearance compared to patients with government insurance (median 25 versus 9 days, P < .001). Of those with private insurance (n = 63), 35% needed a single-case agreement (SCA) which led to significant delay in receiving financial clearance (median 50.5 versus 19 days, P < .001)",PubMed 39270935; doi 10.1016/j.jtct.2024.09.007,https://pubmed.ncbi.nlm.nih.gov/39270935/,2026-09-06,verified-from-source,Publication month November 2024 (epub September 2024).
United States,CAR-T class,survey-finding,2025-09-23,"Chung, Shafrin et al., Blood Adv 2025",stated,"SEER-Medicare 2017-2020: 5.4 percent (122 of 2,241) of third-line-plus DLBCL Medicare patients received CAR-T; average distance to nearest ATC 104.4 miles in poor-access states vs 34.2 miles; closing the gap would raise use 37.6 percent.",5.4,percent of 3L+ DLBCL Medicare patients receiving CAR-T,"Between 2017 and 2020, 2241 patients were treated for 3L+ DLBCL in the SEER-Medicare data, of whom 122 (5.4%) received CAR-Ts.",PubMed 40378343; doi 10.1182/bloodadvances.2024015634,https://pubmed.ncbi.nlm.nih.gov/40378343/,2026-09-06,verified-from-source,"Abstract: ""If distance to the nearest ATC for poor-access states (average distance to ATC, 104.4 miles) decreased to the average distance in better-access states (34.2 miles), there would be a 37.6% increase in number of patients receiving CAR-Ts (6.6%-9.1%; P < .001)."""
United States,gene therapy class,survey-finding,2026-05-01,"Wagner, Riposo et al., PharmacoEconomics 2026",stated,"Landscape of US innovative contracts for gene therapies Jan 2014-Jan 2025: public information for 10 of 14 gene therapies; 16 contracts identified (8 upfront with milestone rebates, 2 performance-based instalments, 1 upfront with rebate or 5-year payment, 5 without public details).",16,gene therapy contracts identified,"Information on manufacturer and payer contracts was publicly available for 10 of 14 gene therapies (71%). Of 16 identified GT contracts, eight used upfront payments with milestone-based rebates, two used performance-based installment payments, one offered upfront payment with a rebate or payment over 5 years, and five do not have publicly available details",PubMed 41310145; doi 10.1007/s40273-025-01563-3,https://pubmed.ncbi.nlm.nih.gov/41310145/,2026-09-06,verified-from-source,
United States,gene therapy class,survey-finding,2025-03-01,"Conti, Demartino et al., Milbank Q 2025",stated,"Simulation of reinsurance costs for CGTs: total annual costs of covering all existing and expected CGTs 2023-2035 under $20 per person, concentrated in commercial and state Medicaid plans.",20,USD per person per year (upper bound),Total annual costs of covering all existing and expected CGTs for the entire US population 2023-2035 to amount to less than $20 per person and concentrate in commercial and state Medicaid plans.,PubMed 39825634; doi 10.1111/1468-0009.12728,https://pubmed.ncbi.nlm.nih.gov/39825634/,2026-09-06,verified-from-source,
United States,Yescarta,delivery-site,2017-10-18,Kite / Gilead,stated,Launch network: 16 centres certified at approval; more than 30 in training; target 70 to 90 US centres.,16,authorized treatment centers,"Upon Yescarta's approval, this team will provide final site certification to 16 centers",Gilead press release 18 October 2017,https://www.gilead.com/news/news-details/2017/kites-yescarta-axicabtagene-ciloleucel-becomes-first-car-t-therapy-approved-by-the-fda-for-the-treatment-of-adult-patients-with-relapsed-or-refractory-large-b-cell-lymphoma-after-two-or-more,2026-09-06,verified-from-source,"Release: ""Kite is actively working to train more than 30 additional centers"" and ""with an eventual target of 70 to 90 centers across the United States""; list price ""$373,000""."
United States,Yescarta,turnaround-time,2017-10-18,Kite / Gilead,stated,Median manufacturing turnaround time in pivotal programme at approval.,17,days (median),Kite demonstrated a 99 percent manufacturing success rate with a median manufacturing turnaround time of 17 days,Gilead press release 18 October 2017,https://www.gilead.com/news/news-details/2017/kites-yescarta-axicabtagene-ciloleucel-becomes-first-car-t-therapy-approved-by-the-fda-for-the-treatment-of-adult-patients-with-relapsed-or-refractory-large-b-cell-lymphoma-after-two-or-more,2026-09-06,verified-from-source,
United States,Yescarta,turnaround-time,2024-02-06,Gilead,stated,FDA-approved manufacturing process change reduces US median turnaround time.,14,"days (median, anticipated)",Received FDA approval of a manufacturing process change resulting in reduced median turnaround time for Yescarta in the U.S. to an anticipated 14 days (from 16 days previously).,"Gilead 8-K exhibit 99.1, Q4 2023 earnings release",https://www.sec.gov/Archives/edgar/data/882095/000088209524000003/exhibit991earningspressrel.htm,2026-09-06,verified-from-source,
United States,Yescarta,delivery-site,2026-09-06,Kite (yescartahcp.com),stated,Sponsor HCP site count of US Authorized Treatment Centers (page undated; read 2026-09-06).,150,authorized treatment centers (150+),There are over 150 Authorized Treatment Centers throughout the US.,"Yescarta HCP website, Authorized Treatment Centers page",https://www.yescartahcp.com/large-b-cell-lymphoma/authorized-treatment-centers,2026-09-06,verified-from-source,"Page also says ""150+ YESCARTA Authorized Treatment Centers in the academic and community setting throughout the country""; copyright 2026. A WebSearch snippet of the follicular-lymphoma page read ""more than 145""."
United States,Yescarta,capacity-statement,2020-05-06,Gilead,stated,COVID-19 effect on CAR-T access (Q1 2020 10-Q).,,,"we expect the number of patients treated in the second quarter of 2020 to decline as a result of reduced access to authorized treatment centers, delayed or canceled treatments and the slowing of community referrals.",Gilead Form 10-Q Q1 2020,https://www.sec.gov/Archives/edgar/data/882095/000088209520000013/q120form10-q.htm,2026-09-06,verified-from-source,
United States,Kymriah,delivery-site,2018-01-24,Novartis,stated,US launch status at Q4 2017 results.,33,REMS-certified treatment centers (25 fully operational),"Kymriah launch in the US progressed well in the fourth quarter. 33 treatment centers are now REMs certified, 25 of those are fully operational and we are focused on ensuring access for patients.","Novartis Form 6-K, Q4 2017 condensed financial report (exhibit 99.2)",https://www.sec.gov/Archives/edgar/data/1114448/000137036818000004/a180124-99_2.htm,2026-09-06,verified-from-source,
United States,Kymriah,delivery-site,2019-07-18,Novartis,stated,Global qualified treatment centres (not US-only).,130,"qualified treatment centers (global, more than)",There are over 130 qualified treatment centers and 19 countries worldwide that have coverage for at least one indication.,"Novartis Form 6-K, Q2 2019 report (exhibit 99.2)",https://www.sec.gov/Archives/edgar/data/1114448/000137036819000049/a190718-99_2.htm,2026-09-06,verified-from-source,Global figure.
United States,Kymriah,delivery-site,2020-01-29,Novartis,stated,Global qualified treatment centres at end 2019.,200,"qualified treatment centers (global, more than)","There are over 200 qualified treatment centers and more than 20 countries worldwide have coverage for at least one indication, including Japan.","Novartis Form 6-K, Q4 2019 report (exhibit 99.2)",https://www.sec.gov/Archives/edgar/data/1114448/000137036820000007/a200129-99_2.htm,2026-09-06,verified-from-source,Global figure.
United States,Kymriah,delivery-site,2021-01-26,Novartis,stated,Global qualified treatment centres at end 2020.,290,"qualified treatment centers (global, more than)","Coverage continued to expand, with more than 290 qualified treatment centers and 27 countries having coverage for at least one indication.","Novartis Form 6-K, Q4 2020 report (exhibit 99.2)",https://www.sec.gov/Archives/edgar/data/1114448/000137036821000008/a210126-99_2.htm,2026-09-06,verified-from-source,Global figure.
United States,Kymriah,delivery-site,2022-02-02,Novartis,stated,Global qualified treatment centres at end 2021.,350,"qualified treatment centers (global, more than)","Coverage continued to expand, with more than 350 qualified treatment centers in 30 countries having coverage for at least one indication.","Novartis Form 6-K, Q4 2021 report (exhibit 99.2)",https://www.sec.gov/Archives/edgar/data/1114448/000137036822000009/a220202-99_2.htm,2026-09-06,verified-from-source,Global figure.
United States,Carvykti,capacity-statement,2024-03-11,Legend Biotech,stated,Manufacturing capacity and global treatment-centre footprint at end 2023.,80,"authorized treatment centers (global, 80+)","Expanded manufacturing capacity by 100% since the beginning of 2023, including starting clinical production at the new Obelisc site in Ghent • Plans to deliver production capacity of 10,000 annual doses by year-end 2025 • CARVYKTI is now available in Germany and Austria, as commercial demand continues with over 2,500 patients treated across 80+ authorized treatment centers globally","Legend Biotech Form 6-K exhibit 99.1, Q4 2023 results",https://www.sec.gov/Archives/edgar/data/1801198/000180119824000011/a991earningsreleaseq42023.htm,2026-09-06,verified-from-source,Global figure.
United States,Carvykti,capacity-statement,2023,Johnson & Johnson / Legend (as reported by Fierce Pharma and BioPharma Dive),stated,2023 supply constraint: lentiviral vector shortage and limited manufacturing slots; phased activation of certified treatment centres.,,,"a ""supply-constrained environment"" driven by two factors: An industrywide shortage of lentiviral vectors and capacity, or slots, to engineer and culture therapeutic T cells",Fierce Pharma / BioPharma Dive reports (2023),https://www.fiercepharma.com/pharma/johnson-johnson-exec-touts-carvykti-manufacturing-progress,2026-09-06,provisional-from-snippet,Secondary press wording from search snippet; no primary J&J or Legend filing sentence on slots was found (EDGAR full-text search for CARVYKTI + slots returned 0 hits).
United States,Carvykti,delivery-site,2026-09-06,Janssen (carvyktihcp.com),stated,Sponsor HCP site count of US activated treatment centres (page undated; read 2026-09-06).,140,activated treatment centers (over),Available in over 140 Activated Treatment Centers throughout the US,"CARVYKTI HCP website, treatment centers page",https://www.carvyktihcp.com/treatment-centers,2026-09-06,verified-from-source,"Legend January 2026 investor deck states a share of the myeloma market ""is now within 50 miles of a CARVYKTI site (US)"" (number not recoverable from slide text)."
United States,Breyanzi,delivery-site,,Bristol Myers Squibb,not-found,No BMS filing sentence stating the number of Breyanzi or Abecma treatment centres was found; sponsor HCP locator pages returned 404.,,,,EDGAR full-text search; breyanzihcp.com,https://efts.sec.gov/LATEST/search-index?q=%22treatment%20centers%22%20%22Breyanzi%22&ciks=0000014272,2026-09-06,not-found,
United States,Abecma,delivery-site,,Bristol Myers Squibb / 2seventy,not-found,As for Breyanzi: no site-count statement located.,,,,EDGAR full-text search,https://efts.sec.gov/LATEST/search-index?q=%22treatment%20centers%22%20%22Abecma%22&ciks=0000014272,2026-09-06,not-found,
United States,Amtagvi,delivery-site,2023-11-07,Iovance Biotherapeutics,stated,Pre-approval onboarding of ATCs.,30,authorized treatment centers (approximately),Pre-approval onboarding steps to treat melanoma patients with lifileucel upon approval have been completed at approximately 30 ATCs.,"Iovance 8-K exhibit 99.1, Q3 2023 results",https://www.sec.gov/Archives/edgar/data/1425205/000110465923115226/tm2330006d1_ex99-1.htm,2026-09-06,verified-from-source,"Same release: ""Approximately 50 ATCs are expected to be onboard within 90 days of the PDUFA date""."
United States,Amtagvi,delivery-site,2024-02-20,Iovance Biotherapeutics,stated,At FDA approval.,30,authorized treatment centers (more than),"AMTAGVI must be administered in an ATC, and more than 30 ATCs are prepared to collect and ship tumor tissue from patients for AMTAGVI manufacturing.","Iovance 8-K exhibit 99.1, 20 February 2024 (approval release)",https://www.sec.gov/Archives/edgar/data/1425205/000110465924025082/tm246580d1_ex99-1.htm,2026-09-06,verified-from-source,"28 February 2024 release: ""approximately 50 ATCs are expected to be onboard by the end of May 2024""."
United States,Amtagvi,delivery-site,2026-05-07,Iovance Biotherapeutics,stated,ATC network two years after approval (US and Canada) and year-end target.,90,"authorized treatment centers (US and Canada, more than)","Demand and referral patterns are accelerating across a growing network of more than 90 U.S. and Canadian academic and community authorized treatment centers (ATCs). By year-end 2026, at least 110 ATCs will be activated.","Iovance 8-K exhibit 99.1, Q1 2026 results",https://www.sec.gov/Archives/edgar/data/1425205/000110465926056782/tm2613648d1_ex99-1.htm,2026-09-06,verified-from-source,
United States,Amtagvi,turnaround-time,2026-05-07,Iovance Biotherapeutics,stated,Manufacturing turnaround time.,32,days (or less),"Amtagvi turnaround time is 32 days or less with the first scaled, centralized commercial manufacturing process for TIL therapy.","Iovance 8-K exhibit 99.1, Q1 2026 results",https://www.sec.gov/Archives/edgar/data/1425205/000110465926056782/tm2613648d1_ex99-1.htm,2026-09-06,verified-from-source,
United States,Tecelra,delivery-site,2024-08-12,Adaptimmune,stated,Launch plan at approval.,6,authorized treatment centers (6-10 initially),Tecelra will be available in 6-10 US authorized treatment centers in the coming weeks,"Adaptimmune 8-K exhibit 99.1, Q2 2024 results",https://www.sec.gov/Archives/edgar/data/1621227/000155837024011793/adap-20240812xex99d1.htm,2026-09-06,verified-from-source,"March 2024: ""Initially, launch will be focused on 6-10 selected treatment centers ... and will expand to up to ~30 additional ATCs""."
United States,Tecelra,delivery-site,2024-11-13,Adaptimmune,stated,ATCs open at Q3 2024; target network.,9,authorized treatment centers,Tecelra launch on track with 9 Authorized Treatment Centers available to initiate patient treatment journey,"Adaptimmune 8-K exhibit 99.1, Q3 2024 results",https://www.sec.gov/Archives/edgar/data/1621227/000155837024015525/adap-20241113xex99d1.htm,2026-09-06,verified-from-source,"Same release: ""the full ATC network of approximately 30 ATCs will be active by the end of 2025, covering an estimated 80% of patients treated in sarcoma centers of excellence""."
United States,Tecelra,delivery-site,2025-03-20,Adaptimmune,stated,ATCs accepting referrals at FY2024 results.,20,authorized treatment centers,20 Authorized Treatment Centers (ATCs) now accepting referrals,"Adaptimmune 8-K exhibit 99.1, Q4/FY2024 results",https://www.sec.gov/Archives/edgar/data/1621227/000155837025003340/adap-20250320xex99d1.htm,2026-09-06,verified-from-source,
United States,Tecelra,delivery-site,2025-05-13,Adaptimmune,stated,ATCs accepting referrals at Q1 2025.,28,authorized treatment centers,28 Authorized Treatment Centers (ATCs) now accepting referrals,"Adaptimmune 8-K exhibit 99.1, Q1 2025 results",https://www.sec.gov/Archives/edgar/data/1621227/000155837025007493/adap-20250513xex99d1.htm,2026-09-06,verified-from-source,Same release: 21 patients apheresed and 14 doses invoiced year to date.
United States,Aucatzyl,delivery-site,2025-01-13,Autolus Therapeutics,stated,Launch network plan.,30,key centers primed for activation,30 key centers primed for activation covering ~ 60% of r/r B-ALL target population with ~30 additional centers to follow by end 2025,"Autolus 8-K exhibit 99.1 (corporate presentation), 13 January 2025",https://www.sec.gov/Archives/edgar/data/1730463/000173046325000004/autlex-991cp130125.htm,2026-09-06,verified-from-source,
United States,Aucatzyl,delivery-site,2025-03-20,Autolus Therapeutics,stated,Authorized treatment centres four months after approval.,33,authorized treatment centers,"commercial launch progressing on track with 33 authorized treatment centers as of March 19, 2025, following US FDA approval on November 8, 2024","Autolus 8-K exhibit 99.1, FY2024 results",https://www.sec.gov/Archives/edgar/data/1730463/000173046325000010/autlex-991pr200325.htm,2026-09-06,verified-from-source,"Same release: ""Autolus continues to expect to complete authorization of 60 treatment centers by the end of 2025, covering approximately 90% of the target patient population""."
United States,Aucatzyl,delivery-site,2025-11-12,Autolus Therapeutics,stated,Authorized treatment centres at Q3 2025.,60,authorized treatment centers,60 authorized treatment centers achieved ahead of target,"Autolus 8-K exhibit 99.1, Q3 2025 results",https://www.sec.gov/Archives/edgar/data/1730463/000173046325000081/autlex-991pr121125.htm,2026-09-06,verified-from-source,"January 2026 deck: ""More than 60 treatment centers activated""."
United States,Aucatzyl,turnaround-time,2024-03-15,Autolus Therapeutics,stated,Expected delivery time at launch (earnings call).,16,days (approximately),minimizing the turnaround time will be in terms of delivery time at around 16 days at time of launch.,"Autolus 8-K exhibit 99.1, earnings call transcript 15 March 2024",https://www.sec.gov/Archives/edgar/data/1730463/000173046324000029/ex-991ectranscript150324.htm,2026-09-06,verified-from-source,Call transcript wording.
United States,Casgevy,delivery-site,2024-02-05,Vertex Pharmaceuticals,stated,US ATCs activated two months after approval and US target.,12,authorized treatment centers (US),"Vertex has activated 12 authorized treatment centers (ATCs) in the U.S. [...] and three in the EU, with the ultimate goal of activating approximately 50 ATCs in the U.S.","Vertex 8-K exhibit 99.1, Q4 2023 results",https://www.sec.gov/Archives/edgar/data/875320/000087532024000012/ex-991_q42023.htm,2026-09-06,verified-from-source,"Bracketed ellipsis marks a sentence-split in extraction; CRISPR Therapeutics release of 21 February 2024 repeats ""the activation of 12 authorized treatment centers (ATCs) in the U.S."""
United States,Casgevy,delivery-site,2024-05-06,Vertex Pharmaceuticals,stated,Global ATCs activated (mid-April 2024).,25,"authorized treatment centers (global, more than)","As of mid-April, Vertex has activated more than 25 authorized treatment centers (ATCs) globally and multiple patients across all regions have initiated cell collection.","Vertex 8-K exhibit 99.1, Q1 2024 results",https://www.sec.gov/Archives/edgar/data/875320/000087532024000137/ex-991_q12024.htm,2026-09-06,verified-from-source,Global figure.
United States,Casgevy,delivery-site,2024-08-01,Vertex Pharmaceuticals,stated,Global ATCs activated (mid-July 2024).,35,"authorized treatment centers (global, more than)","As of mid-July, Vertex has activated more than 35 authorized treatment centers (ATCs) globally and increasing numbers of patients across all regions have initiated cell collection.","Vertex 8-K exhibit 99.1, Q2 2024 results",https://www.sec.gov/Archives/edgar/data/875320/000087532024000193/ex-991_q22024.htm,2026-09-06,verified-from-source,Global figure.
United States,Casgevy,delivery-site,2024-11-04,Vertex Pharmaceuticals,stated,Global ATCs activated (mid-October 2024); first infusion revenue in Q3 2024.,45,authorized treatment centers (global),"As of mid-October, Vertex has activated 45 authorized treatment centers (ATCs) globally and increasing numbers of patients across all regions have initiated cell collection.","Vertex 8-K exhibit 99.1, Q3 2024 results",https://www.sec.gov/Archives/edgar/data/875320/000087532024000221/ex-991_q32024.htm,2026-09-06,verified-from-source,"Same release: ""In the third quarter of 2024, Vertex's product revenue included revenue from the first patient infused with CASGEVY."""
United States,Casgevy,delivery-site,2025-02-10,Vertex Pharmaceuticals,stated,Global ATCs at end 2024; more than 50 patients with cell collection.,50,"authorized treatment centers (global, more than)","As of the end of 2024, Vertex has activated more than 50 authorized treatment centers (ATCs) globally and more than 50 patients have initiated cell collection.","Vertex 8-K exhibit 99.1, Q4 2024 results",https://www.sec.gov/Archives/edgar/data/875320/000087532025000029/ex-991_q42024.htm,2026-09-06,verified-from-source,Global figure.
United States,Casgevy,delivery-site,2025-05-06,CRISPR Therapeutics,stated,Global ATCs as of 1 May 2025.,65,"authorized treatment centers (global, more than)","As of May 1, more than 65 authorized treatment centers (ATCs) have been activated globally and approximately 90 patients have had their first cell collection","CRISPR Therapeutics 8-K exhibit 99.1, Q1 2025 results",https://www.sec.gov/Archives/edgar/data/1674416/000095017025064435/crsp-ex99_1.htm,2026-09-06,verified-from-source,Global figure.
United States,Casgevy,delivery-site,2025-08-04,Vertex Pharmaceuticals,stated,Global ATC activation target met.,75,"authorized treatment centers (global, more than)",Vertex has met its goal of activating more than 75 authorized treatment centers (ATCs) globally.,"Vertex 8-K exhibit 99.1, Q2 2025 results",https://www.sec.gov/Archives/edgar/data/875320/000087532025000213/ex-991_q22025.htm,2026-09-06,verified-from-source,"CRISPR Therapeutics same quarter: ""~115 patients have had cells collected across all regions""."
United States,Casgevy,capacity-statement,2025-11-03,Vertex Pharmaceuticals / CRISPR Therapeutics,stated,Patient flow through ATC network to 30 September 2025.,39,"patients infused (global, cumulative)","Globally, since launch through September 30 th , 2025, approximately 165 people with SCD or TDT have had their first cell collection for CASGEVY, including 50 people in the third quarter of 2025; and 39 people with SCD or TDT have received infusions of CASGEVY, including 10 people infused in the third quarter of 2025.","Vertex 8-K exhibit 99.1, Q3 2025 results",https://www.sec.gov/Archives/edgar/data/875320/000087532025000230/ex-991_q32025.htm,2026-09-06,verified-from-source,"CRISPR Q3 2025 release: ""Nearly 300 patients have been referred by their physicians to an authorized treatment center (ATC)"" and ""Through the end of September, 25 ATCs had initiated more than 5 patients""."
United States,Zynteglo,delivery-site,2023-05-09,bluebird bio,stated,QTC scale-up target for 2023.,40,qualified treatment centers (target 40-50 by end 2023),The Company is on track to scale to 40-50 qualified treatment centers by the end of 2023.,"bluebird bio 8-K exhibit 99.1, Q1 2023 results",https://www.sec.gov/Archives/edgar/data/1293971/000129397123000021/exhibit99120230509.htm,2026-09-06,verified-from-source,
United States,Lyfgenia,delivery-site,2023-12-11,bluebird bio,stated,QTCs ready at FDA approval and Q1 2024 target.,27,qualified treatment centers,"At the time of approval, 27 QTCs are ready to receive patient referrals and the Company anticipates a QTC network of 40 or more QTCs to be fully activated for LYFGENIA patients by the end of the first quarter of 2024.","bluebird bio 8-K exhibit 99.1, 11 December 2023",https://www.sec.gov/Archives/edgar/data/1293971/000119312523292087/d84993dex991.htm,2026-09-06,verified-from-source,
United States,Lyfgenia,turnaround-time,2023-12-11,bluebird bio,stated,Manufacturing stage designed duration (investor deck).,70,days (70-105),LYFGENIA manufacturing process STAGE 2 Designed to take 70-105 days Bulk of time spent on release testing to deliver high quality drug product,"bluebird bio 8-K exhibit 99.1 (presentation), 11 December 2023",https://www.sec.gov/Archives/edgar/data/1293971/000119312523292087/d84993dex991.htm,2026-09-06,verified-from-source,"Deck also: ""60% of SCD patients are within 50 miles of a planned QTC"" and ""95% of SCD patients are within 200 miles of a planned QTC""."
United States,Lyfgenia,delivery-site,2024-01-08,bluebird bio,stated,QTCs accepting SCD referrals; Zynteglo QTCs activated.,35,qualified treatment centers (Lyfgenia),"Established Qualified Treatment Center (QTC) network in place, with 48 centers activated for ZYNTEGLO for beta-thalassemia as of January 5, 2024","bluebird bio 8-K exhibit 99.1, 8 January 2024",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000004/exhibit99120240108.htm,2026-09-06,verified-from-source,"Headline: ""35 Qualified Treatment Centers accepting patient referrals""; Zynteglo 48 activated."
United States,Zynteglo,delivery-site,2024-03-26,bluebird bio,stated,QTCs activated (signed MSA) at FY2023 results.,62,qualified treatment centers,"bluebird has activated 62 QTCs for ZYNTEGLO (defined as a signed MSA); capitalizing on launch synergies, 49 centers are already receiving referrals for LYFGENIA","bluebird bio 8-K exhibit 99.1, Q4 2023 results",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000010/exhibit99120240324.htm,2026-09-06,verified-from-source,Lyfgenia 49 receiving referrals.
United States,Lyfgenia,delivery-site,2024-05-09,bluebird bio,stated,QTCs activated for both haemoglobinopathy products.,64,qualified treatment centers,bluebird has activated 64 QTCs for LYFGENIA and ZYNTEGLO (defined as a signed MSA),"bluebird bio 8-K exhibit 99.1, Q1 2024 results",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000020/exhibit99120240509.htm,2026-09-06,verified-from-source,
United States,Lyfgenia,delivery-site,2024-11-14,bluebird bio,stated,Activated QTCs at Q3 2024 and share treating patients.,70,qualified treatment centers (more than),"More than 70 activated QTCs, with 40% having initiated or completed treatment for at least one patient.","bluebird bio 8-K exhibit 99.1, Q3 2024 results",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000076/exhibit99120241114.htm,2026-09-06,verified-from-source,
United States,Luxturna,delivery-site,2018-05-08,Spark Therapeutics,stated,First three US patients treated at three centres.,3,treatment centers,"Launched LUXTURNA in U.S., with three patients treated at different treatment centers - Massachusetts Eye and Ear in Boston, Bascom Palmer Eye Institute in Miami and The Vision Center at Children's Hospital of Los Angeles","Spark Therapeutics 8-K exhibit 99.1, Q1 2018 results",https://www.sec.gov/Archives/edgar/data/1609351/000160935118000042/spark-exhibit991q12018.htm,2026-09-06,verified-from-source,
United States,Luxturna,delivery-site,2018-08-07,Spark Therapeutics,stated,Treatment centres with treated patients at Q2 2018.,6,treatment centers,"Continued strong execution of LUXTURNA launch in U.S., with 12 vials shipped in the second quarter of 2018 and patients now treated in six treatment centers","Spark Therapeutics 8-K exhibit 99.1, Q2 2018 results",https://www.sec.gov/Archives/edgar/data/1609351/000160935118000069/spark-exhibit991q22018.htm,2026-09-06,verified-from-source,
United States,Lenmeldy / Libmeldy,delivery-site,2023-11-13,Orchard Therapeutics,stated,US launch preparation: establishing qualified treatment centres in 1H 2024 (no count given).,,,"launch, including establishing qualified treatment centers and expanding newborn screening activities in the country, in the first half of 2024 following an anticipated FDA decision on March 18, 2024","Orchard Therapeutics 8-K exhibit 99.1, Q3 2023 results",https://www.sec.gov/Archives/edgar/data/1748907/000095017023062423/ortx-ex99_1.htm,2026-09-06,verified-from-source,"August 2023 deck (EU): ""Average vein-to-vein time of 55 days with 100% success in production"" and ""4 of 5 qualified centers"" (Europe)."
United States,Zolgensma,delivery-site,,Novartis Gene Therapies,not-found,No Novartis filing sentence giving a US Zolgensma treatment-site count was found; the sponsor site-locator URL tried returned 404.,,,,EDGAR full-text search; zolgensma-hcp.com,https://efts.sec.gov/LATEST/search-index?q=%22Zolgensma%22%20%22treatment%20centers%22&ciks=0001114448,2026-09-06,not-found,
United States,Elevidys,delivery-site,,Sarepta Therapeutics,not-found,No Sarepta filing sentence giving a count of Elevidys treatment sites was found.,,,,EDGAR full-text search,https://efts.sec.gov/LATEST/search-index?q=%22ELEVIDYS%22%20%22sites%22&ciks=0000873303,2026-09-06,not-found,
