id,date,topic,statement,evidence,source,status,confidence,used_in,notes
F038,2026-09-05,07_companion_methods_paper,"Among genetic therapeutic subfamilies in technology_maturity_matrix.csv the first Phase 3 years are AAV gene transfer 2003, lentiviral ex vivo 2010, in vivo LNP 2013, CAR-T 2015, CRISPR nuclease 2018; base, prime and epigenome editing have none. The only therapeutic subfamily with an earlier first_ph3_year is N-of-1 / individualized genetic therapy (2000), whose earliest Phase 3-or-later record is NCT00000428, a Phase 4 N-of-1-design trial of fibromyalgia treatments (Tufts Medical Center, start 2000-09) caught by the query, not a genetic therapy. AAV therefore holds 'earliest genetic modality to reach pivotal trials' uniquely, while 'most mature' is tied four ways at stage 5 (AAV, in vivo LNP, CRISPR nuclease, AI-originated candidates).","data/derived/technology_maturity_matrix.csv columns modality, stage_n, first_ph3_year; data/primary/trial_records.csv filtered to subfamily N-of-1 and phase containing 3 or 4, sorted by start (one-line pandas command, LOG 2026-09-05)",bundle,verified-from-data,high,"manuscript v7 section 2.3 heading, parenthetical and Conclusion; OPEN_ITEMS item 1 closed",The N-of-1 subfamily's first_ph3_year is a query artefact. The matrix is not corrected here because the companion paper's counts and Figure 4 depend on it; re-derive it with the comparator re-run (topic 07 task 2).
F040,2026-09-05,03_uptake_stage,"Product-level net-price variant (US CAR-T revenue at the price in force: implied CMS ASP where the file gives it, else the year's WAC, no factor; ex-US revenue at launch list times 0.76) for the five CAR-Ts with an ASP series and a US split (Yescarta, Tecartus, Breyanzi, Abecma, Carvykti) gives 72 to 83 percent of the main series' cumulative central counts (Yescarta 24,414 vs 29,589; Carvykti 9,822 vs 13,404; Breyanzi 8,336 vs 11,651; Abecma 4,620 vs 5,825; Tecartus 5,024 vs 6,279). Against Kite's four disclosed cumulative floors (2,500 Yescarta-only at end 2019; more than 11,000, 17,700 and 25,000 Kite patients at December 2022, January 2024 and January 2025) the variant recovers 81, 85, 90 and 87 percent, below every floor, while the class-factor series recovers 103, 104, 110 and 106 percent. US net equals list (F030) therefore does not carry to the worldwide count: ex-US prices below 0.76 of US launch list, free and trial doses, or list-price increases before the ASP series begins absorb the difference. The class factor stays the primary series (D011 confirmed).","research/findings/net_price_variant_2026-09-05.py -> data/uptake/patients_quarterly_variant.csv, net_price_variant_summary.csv, net_price_variant_checks.csv",S35; S37; S30 (Kite disclosures in pilot_calibration.csv),derived,high for the arithmetic; medium for the interpretation (disclosed counts are floors and pool Yescarta with Tecartus),topic 03 open question on net versus list; D011,"Yescarta 2018 to 2021 US quarters use the 2017 WAC carried forward because the ASP series starts 2022Q4 and no later WAC row exists for those years; a higher actual WAC would lower the variant further, so the undershoot is robust in that direction."
F039,2026-09-05,03_uptake_stage,"Label-dated eligible pools (D012) for the eight products whose US or EU label changed after launch, from 43 verified label events (47 FDA and EC events read; a limitation-of-use removal, an age-wording clarification and the Elevidys EU refusal skipped). Pools at 30 June 2026 move from the static all-indication ranges as follows (low to high): Carvykti 12,238 to 120,846 becomes 40,530 to 85,148 (second-line flow only from 5 April 2024, fifth-line before), cumulative penetration 7 to 89% becomes 10 to 27% and run-rate 13 to 169% becomes 13 to 31%; Abecma 13,688 to 93,252 becomes 23,597 to 66,221, penetration 3 to 29% becomes 5 to 17%; Yescarta 47,221 to 84,631 becomes 49,360 to 73,889, penetration 14 to 34% becomes 16 to 32%; Kymriah 13 to 17% becomes 13 to 18%; Elevidys, whose static pool held the 2023 ambulatory 4-to-5 label, becomes 3,752 to 10,571 on the ambulatory 4-and-older label (Romitti prevalence times the Duchenne Registry ambulatory share), penetration 24 to 48% becomes 6 to 23%; Breyanzi and Tecartus gain a US pool for the first time through borrowed indication ranges (Breyanzi 19 to 46%, Tecartus 19 to 25%, both flagged understated because CLL, FL, MCL and, for Tecartus, mantle-cell lymphoma have no US eligible row). Casgevy's US pool is unchanged until the 2 to 11 extension of 1 July 2026 adds Vertex's 5,500. H1 readings: Yescarta, Kymriah and now Breyanzi have not reached half of the eligible flow with follow-up longer than their clinical stage; Tecartus is not decidable because its pool is understated; the rest are not yet decidable.",research/findings/curate_label_events_2026-09-05.py -> data/uptake/label_events.csv; build_eligible_ranges_2026-09-05.py -> eligible_population_by_indication.csv; build_milestones_2026-09-05.py -> milestones.csv (pool_basis column) and pool_quarterly.csv; comparison against the pre-change milestones.csv kept in the session scratchpad,S45; S46; S47; S41; S42,derived,high for the label dates (all verified-from-source); medium for the pools (Elevidys and the second-line LBCL flows are derived from epidemiology; Breyanzi and Tecartus borrow ranges and miss indications),figure 3 penetration ranges; H1; supersedes F037 for the eight label-dated products,"The static F037 ranges were wide for a definitional reason (lines of therapy mixed), not source disagreement. Remaining gaps: US eligible flows for Breyanzi CLL, FL and MCL and Tecartus MCL; Casgevy US and EU TDT counts; a Sarepta addressable-population statement; Carvykti second-line lenalidomide-refractory share. Static products are unchanged byte for byte."
F041,2026-09-05,03_uptake_stage,"Cross-country CAR-T table built with both denominators (convention 10). The EBMT 2024-data survey is the first to publish CAR-T by country (53 country lines; Supplementary Table 2 gives rates per 10 million for 30 countries, 2018 to 2024); earlier surveys tabulate by indication only. 2024 patients per million population (national registry where one exists, World Bank population): Germany 17.2 (DRST 1,439), France 15.9 (EBMT 1,093), United States 15.5 (CIBMTR 5,266 infusions), Spain 15.3 (ministry circuit 746), Belgium 13.5, Italy 12.8 (TEHA 756), Netherlands 11.0, Austria 9.7, United Kingdom 8.2 (BSBMTCT 565), Ireland 8.0, Poland 3.6, Russia 0.15, Turkey 0.06. Per 100 eligible patients (country eligible flow = sum over LBCL, MM, ALL, MCL, FL of the range across CAR-T products' verified rows): France 50 to 81, United States 13 to 84, Germany 16 to 70, United Kingdom 14 to 62 (England rows for the UK); Italy, Spain, Japan and the Netherlands have no eligible rows yet. On four countries the two denominators rank the same top three but the US eligible range is too wide (6,264 to 41,368: fifth-line to second-line myeloma) to separate the US from Germany; the per-eligible ranking is not yet decidable for the month-3 gate. France's DESCAR-T product split (3,066 infused: Yescarta 1,680, Kymriah 769, Abecma 368, Tecartus 205, Breyanzi 44) and Spain's cumulative requests by product are now verified.","research/findings/build_cart_by_country_2026-09-05.py -> data/uptake/cart_by_country.csv (255 rows) from raw/cart_registry_counts.csv, raw/cart_country_supplement.csv (343 rows, 327 verified) and raw/country_population.csv (World Bank)",S49; S50; S51; S44; S24,derived,"high for the counts and per-capita rates; low for the per-eligible ranking (four countries, ranges an order of magnitude wide)",topic 03 task 5 first pass; cross-country design gate (per-capita vs per-eligible),"Counts mix patients and infusions and first versus all CAR-T (EBMT gives both: Europe 6,090 first, 6,204 all); the table keeps every registry row so the choice is visible. Italy and Spain eligible flows (gap 6) are the binding constraint on the per-eligible ranking."
F042,2026-09-05,04_investment,"Systematic post-approval event table for the 43 cohort products: 151 rows (111 usable) from 102 agent-sourced disclosures, the seed list, the cohort's EU withdrawals and the disclosure statements. Counting retreats after first approval (discontinuation or withdrawal, shipment pause or label restriction, restructuring or impairment attributed to the product, sponsor exit, going private; the 2024 class-wide CAR-T boxed warning and priority-review-voucher sales excluded; asset sales reported separately), 22 of 43 products have at least one retreat event, at a median 20.5 months from first approval (range 0.8, Skysona, to 85.4, Luxturna's Roche restructuring). By class: AAV 6 of 11 (median 31.8 months; 4 withdrawn anywhere: Glybera, Beqvez, Roctavian, Elevidys in the EU), ex vivo lentiviral or retroviral 5 of 7 (15.4 months; Zynteglo and Skysona withdrawn), autologous CAR-T 2 of 7 (Abecma's sponsor spin-off and Aucatzyl's restructuring; none withdrawn), other classes 9 of 18. Ten products were withdrawn somewhere; 17 saw their sponsor acquired or the asset change hands; 6 were sold or licensed after approval. Products first approved in 2022 or later show 12 retreats among 27 against 10 among 16 approved earlier, with shorter follow-up. Stated amounts include Roctavian charges USD 240m and 60m, Elevidys restructuring 400m, Zynteglo and Skysona wind-down 160m, Kite acquisition 11.9bn, AveXis 8.7bn, Spark 4.8bn, Juno 9.0bn.","research/findings/build_investment_events_2026-09-05.py -> data/investment/events.csv, events_summary.csv from data/investment/raw/events_by_product.csv, data/cohort/investment_events.csv, product_cohort.csv, data/uptake/raw/*_disclosures.csv",S55; S28; S43,derived,"high for the event dates (verified filings); medium for the retreat classification (keyword typing of the disclosure statements, one provisional row for the Novartis Longmont closure)","topic 04 task 1; withdrawal rate denominator (replaces the six curated cases, F011); Kaplan-Meier of time to first retreat (month 3)","Retreat is a broad category: a sponsor restructuring counts even when the product continues (Luxturna, Provenge). Fourteen products have a documented none-found search. Restructuring events attributed to a product rely on the filing naming it; quiet deprioritisation is not observed (topic 04 open question)."
F043,2026-09-05,02_access_stage,"Access-stage decision table built for six systems (England NICE; Germany G-BA; France HAS, ANSM early access, JO inscription, CEPS; Italy AIFA; Canada CADTH/CDA-AMC and pCPA; Australia TGA, MSAC, PBAC and funding start): 504 rows for all 43 products, 329 verified from the decision documents, 294 usable for durations. Months from the EU (or national) marketing authorisation to the first positive funding step (median, IQR, n): England 9.4 (5.0 to 15.3, 13); Germany 9.8 (7.4 to 12.3, 20); France 5.2 (-0.8 to 11.8, 12) counting paid early access, 23.4 (14.6 to 30.2, 8) counting only JO inscription or a CEPS price; Italy 17.4 (14.8 to 24.0, 16); Canada 21.0 (18.2 to 23.0, 7) to a pCPA letter of intent, while the CADTH recommendation itself lands at 0.4 months because reviews run alongside the Health Canada review; Australia 3.7 (2.0 to 8.0, 7) from TGA registration to MSAC or PBAC support, with MSAC assessments running in parallel with registration and funding start dates found only for Kymriah (31 July 2019) and Zolgensma (May 2022). First outcomes: Germany 18 of 21 first resolutions are added benefit not quantifiable (recommended-restricted) and none quantified positive at first assessment; England 7 of 21 first appraisals terminated for non-submission or withdrawal (Abecma, Carvykti, Zynteglo, Skysona, Beqvez among them), 5 in the Cancer Drugs Fund or managed access; Italy 9 of 17 under a managed-entry agreement (payment at or by result for Kymriah, Yescarta, Zolgensma, Strimvelis, Hemgenix; both CAR-T pioneers lost payment-at-result at renegotiation); France 7 of 18 through early access; Canada 10 of 11 reimburse with conditions and price cuts of 10 to 99 percent demanded, with Carvykti and Beqvez closing without agreement; Australia 9 deferrals across MSAC and PBAC (Carvykti, Hemgenix, Zolgensma among them) before support, Imlygic and Hemgenix first rejected. Eligible counts per year are stated by NICE and G-BA, by HAS for three products, never by AIFA.","research/findings/build_access_decisions_2026-09-05.py -> data/access/decisions.csv, access_summary.csv from data/access/raw/decisions_{nice,gba,cda_amc,aifa,has,australia}.csv",S48; S52; S53; S54; S56; S57,derived,"high for the dates read from documents; medium for the cross-system comparison (regulatory_approval_date is the initial EU authorisation on extension rows for France and Canada, and terminated appraisals count as decisions in England)",figure 2 access stage; topic 02 tasks 1 and 2; cross-country covariates,"Australia: msac.gov.au and tga.gov.au blocked, PSDs came from pbs.gov.au and Wayback, 37 of 92 rows provisional and regulatory_approval_date is the TGA date; HAS documents themselves are unreachable (403), the avis conclusions come from the official BDPM extract. Extension-indication approval dates should be filled from EPAR procedural steps before the per-indication durations are used."
F044,2026-09-06,05_projection,"Landscape projection 2027 to 2036 (D013). Backcast: the industry pipeline at end-2019 (sponsor-level programme proxy, S06 rates, measured clinical-stage distributions) predicts 30 (24 to 35) approvals in the five projected classes for 2020 to 2025 against 16 realised; per-class calibration (CAR-T 0.45, AAV 0.50, lentiviral 1.0, CRISPR 0.50, in vivo 0.58) brings the backcast to 16 (12 to 21) with every year inside the 10th to 90th band. Forecast: 54 (46 to 63) first approvals of genetic products 2027 to 2036 (CAR-T 17, AAV 15, lentiviral 8, CRISPR 2, in vivo editing and LNP 2, other vectors 10 at the historical rate), front-loaded at 10 a year in 2028 and 2029 and falling to 2 to 3 a year by 2033 as the phase-2 stock (59 CAR-T, 37 AAV industry programmes) clears. Patients treated per year worldwide: about 17,000 in 2027, 25,000 (17,000 to 42,000) in 2031, 37,000 (22,000 to 66,000) in 2036, CAR-T four fifths throughout (US 5,300 to 11,600; Europe 6,100 to 14,800); one-time gene therapies about 3,700 a year worldwide by 2036. Products with funded access by 2036 (median): US 60, Germany 59, Italy 51, France 41, England 37, Australia 37, Canada 33, driven by each system's share of approvals ever funded (0.57 to 0.91) more than by its lag. Compressing every access lag to the best observed adds 3 percent to 2036 volume. CAR-T centre capacity keeps pace only at the observed 12 percent a year growth in centres; frozen at 160 US centres the US ceiling is about 6,000 a year at German throughput.","research/findings/project_landscape_2026-09-06.py (4,000 runs) -> data/projection/approvals_projection.csv, access_projection.csv, patients_projection.csv, capacity_projection.csv, diffusion_fits.csv, projection_parameters.csv; figures_projection_2026-09-06.py -> figures/Figure_P1_approvals_projection.png, Figure_P2_patients_projection.png",S06; S39; bundle (trial_records.csv); F032; F035; F039; F041; F043,derived,medium: the backcast is reproduced only after calibration; diffusion ceilings are weakly identified; region splits and the new-disease share are assumptions listed in projection_parameters.csv,manuscript/landscape_projection.md; figures P1 and P2; topic 05 task 2,"Class-level, not per frontier programme; the donor-mapped frontier milestone table remains. Uncalibrated forecast rows are kept in approvals_projection.csv for comparison."
F045,2026-09-06,02_access_stage,"Governance signatures differ by system in the decision documents (keyword coding of 294 usable decision rows, F043). England: cost-effectiveness cited in 26 of 38 rows, population restrictions 22, price 20; 45 percent of rows are refusals or terminations; median 9.4 months to funding. Germany: comparator and evidence 49 of 65 rows, price 32, durability uncertainty 27; 34 percent negative or terminated; 78 percent of rows state an eligible count; 9.8 months. France: population restriction 55 of 89 and comparator or evidence 54, no cost-effectiveness language in the avis; 11 percent negative; 60 percent state a population cible; 5.2 months with early access. Italy: price in 24 of 31 rows, managed-entry agreements in 87 percent of rows; 17.4 months. Canada: price 19 of 32, durability 14, cost-effectiveness 14; 81 percent with conditions; 21.0 months to a pCPA letter. Australia: price 19, cost-effectiveness 18, restrictions 18 of 39; 9 deferrals; 3.7 months from registration to committee support.","research/findings/build_governance_by_region_2026-09-06.py -> data/access/governance_by_region.csv, stated_reasons.csv","F043 sources (S48, S52 to S54, S56, S57)",derived,"medium: keyword coding of verbatim text in four languages, not yet human-validated (topic 02 task 3)",manuscript/governance_by_region.md; regional differentiation of blockers,"United States, Singapore and China rows are added from the agent tables when retrieved; the coding schema is in the script header."
F046,2026-09-06,02_access_stage,"Regional governance tables for the United States, Singapore and China (328 rows, 196 verified). United States: no funding decision; Medicare NCD 2019, MS-DRG 018 weight 36.1 (FY2023) to 45.1 (FY2027), new-technology add-on payments granted and expiring product by product (Casgevy 1.65m, Lyfgenia 2.33m, Zevaskyn 2.05m USD); the Medicaid CGT Access Model reached 33 states plus DC and Puerto Rico by July 2025 (about 84 percent of Medicaid sickle cell beneficiaries); commercial coverage 90 to 97 percent of lives per sponsor statements; prior authorisation 62 days commercial against 32 Medicare; centre networks built per product (Yescarta 16 in 2017 to more than 150; Carvykti more than 140; Casgevy 12 at launch; 171 FACT-accredited IEC programmes). Singapore: CTGTP framework 2021-03-01; Kymriah registered 2021-03-09 and subsidised from 2024-08-01 (41 months); Yescarta refused July 2024 on price, listed April and August 2025; Zolgensma refused September 2025; MediShield Life limit SGD 141,000 from October 2025; one EBMT-reporting centre with 12 CAR-T patients in 2024 (about 2 per million). China: eight CAR-Ts approved since June 2021 plus a haemophilia B gene therapy (2025); no CAR-T in the basic NRDL 2021 to 2025; first Commercial Health Insurance Innovative Drug List (December 2025) carries the five domestic CAR-Ts; Yikaida in more than 110 city Huiminbao schemes, more than 180 centres and about 800 patients by end-2024.","data/access/raw/governance_us.csv, governance_singapore.csv, governance_china.csv (agent tables, per-row URLs and status); research/findings/build_governance_by_region_2026-09-06.py -> data/access/governance_by_region.csv",S58; S59; S60,verified-from-source,"high for the dated rules, listings and approvals; medium for the Chinese prices and Singapore registration dates (press or secondary only)",manuscript/governance_by_region.md regional sections; cross-country comparison; projection assumptions on funded share,Singapore HSA listing dates and Chinese NMPA notices could not be read directly (blocked sites); the stated-reason coding of F045 does not cover these three systems because their documents are not committee opinions.
F047,2026-09-07,02_access_stage,"Access stage as time-to-event (product x system; every authorised product at risk from its authorisation, never-submitted products censored rather than excluded; one endpoint per system, the first decision that makes the product available at public expense to part of its label population; refusals not reversed and market withdrawals as competing events; Aalen-Johansen cumulative incidence). Share of authorised products with funded access by 60 months (bootstrap 10th to 90th, n at risk): Germany 0.83 (0.73 to 0.92; 28), Italy 0.70 (0.57 to 0.81; 28), England 0.53 (0.39 to 0.65; 28), France 0.48 (0.36 to 0.61; 28) counting paid early access, Canada 0.42 (0.23 to 0.59; 14 products with a stated Health Canada authorisation), Australia 0.88 (0.75 to 1.00; 8 TGA-registered products), United States 1.00 (27 products with public revenue; first revenue as the endpoint). Competing-event share by 60 months: England 0.38, France 0.34, Canada 0.26, Italy 0.21, Germany 0.12. The naive proportions used in D013 stage B (Germany 0.91, Italy 0.84, France 0.67, Canada 0.64, England 0.57, Australia 0.70, US 0.82) overstated the funded share in every European system and Canada because they excluded never-submitted products and treated withdrawn products as not at risk. Routine-listing endpoint (France without early access, England without managed access): France 0.36, England 0.40. Median months to funding among funded products: Australia 3.7, United States 4.4, France 5.2, England 9.4, Germany 9.9, Italy 17.4, Canada 23.0. Extension indications: 37 of 223 usable EU-system rows concern an extension with a verified EU label event; dated from the extension's own authorisation their median lag falls from 47.1 to 11.7 months in France and 51.8 to 12.0 in England (Germany and Italy rows were already dated per indication).","research/findings/access_time_to_event_2026-09-07.py -> data/access/access_time_to_event.csv (161 product x system rows per endpoint), access_survival_curves.csv, access_survival_summary.csv, access_indication_durations.csv","data/access/decisions.csv (F043), data/cohort/product_cohort.csv, data/uptake/uptake_summary.csv (F035), data/uptake/label_events.csv (F039)",derived,medium: England's at-risk set uses the EU authorisation date for products authorised after 2020 (MHRA dates not collected); Canada and Australia at-risk sets are limited to products whose rows state a national authorisation; Australia's 8 products give wide bands,projection stage B (replaces the naive share and the lag pool); governance_by_region.md table; time_to_milestone.md,"A refusal followed by a live resubmission (latest row under assessment) leaves the product at risk. Withdrawn-from-market rows: Glybera, Provenge, Zalmoxis, Skysona, Zynteglo, Alofisel, Beqvez per system where no funding preceded the withdrawal. Kaplan-Meier with competing events censored is written alongside as the upper bound (Germany 0.94, Italy 0.85, England 0.68, France 0.56, Canada 0.49)."
