product,sponsor_at_event,event_date,event_type,event_title,counterparty,amount_usd_m,manufacturing_model,geography,stated_reason_verbatim,source_doc,source_url,fetched_date,status,notes
Luxturna,Spark Therapeutics,2019-02-25,acquisition,Roche acquires Spark Therapeutics,Roche,4800,AAV local,worldwide,Roche to acquire Spark Therapeutics for $114.50 per share representing a total equity value of $4.8 billion. Spark Therapeutics will continue its operations in Philadelphia as an independent company within the Roche Group,Spark Therapeutics 8-K Ex-99.1 (2019-02-25); Roche media release 2019-02-25,https://www.sec.gov/Archives/edgar/data/1609351/000119312519048943/d711494dex991.htm,2026-09-05,verified-from-source,"Closing 2019-12-17 after extended FTC review, per Spark 8-K https://www.sec.gov/Archives/edgar/data/1609351/000119312519315712/d851263d8k.htm. Novartis holds ex-US Luxturna rights under a 2018 licence."
Luxturna,Roche (Spark Therapeutics),2025-01-30,restructuring,Roche impairs Spark goodwill and reorganises Spark into the Pharmaceuticals Division,,,AAV local,worldwide,"IFRS net income decreased by 19% (26% in CHF) to CHF 9.2 billion, mainly due to impairment charges to goodwill of CHF 3.2 billion related to Flatiron Health and Spark Therapeutics.","Roche media release, Full Year 2024 results (2025-01-30); Roche Finance Report 2025 (savings 'from resource optimisation initiatives, notably at Spark Therapeutics')",https://www.roche.com/media/releases/med-cor-2025-01-30,2026-09-05,verified-from-source,"Spark-specific goodwill impairment reported as c. USD 2.4bn by BioSpace/Fierce (not itemised in the release read). Workforce: Philadelphia Inquirer 2025-04-03 reports 337 layoffs, more than half of Spark's staff, from May 2025 (https://www.inquirer.com/health/spark-therapeutics-roche-layoffs-philadelphia-20250403.html; trade press). Roche Finance Report 2025 also records full impairment of SPK-9001 (Beqvez) intangible after 'an alliance partner's decision to stop the commercialisation' (https://assets.roche.com/f/176343/x/fca190f63e/fb25e.pdf)."
Lyfgenia,bluebird bio,2024-09-24,restructuring,"bluebird bio restructuring: c.25% workforce reduction, 20% cash opex cut, targeting break-even H2 2025",,,lentiviral ex vivo,US,The restructuring is expected to result in a 20% reduction in cash operating expenses when fully realized in Q3 2025 ... The initiative includes a reduction in the Company's workforce of approximately 25%. The Company's cash flow break-even target assumes scaling to approximately 40 drug product deliveries per quarter,"bluebird bio 8-K Ex-99.1, 'bluebird bio Initiates Restructuring Intended to Optimize Cost Structure' (2024-09-24)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000046/exhibit99120240923.htm,2026-09-05,verified-from-source,
Lyfgenia,bluebird bio,2024-11-14,restructuring,bluebird bio cash-runway warning; going-concern doubt; lender (Hercules) engagement,Hercules Capital,,lentiviral ex vivo,US,bluebird and Hercules are engaging collaboratively as bluebird works to secure adequate cash runway to obtain additional financing and reach cash flow break-even.,"bluebird bio 8-K Ex-99.1, Q3 2024 results (2024-11-14); bluebird 10-K FY2024 ('There is substantial doubt regarding our ability to continue as a going concern')",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000076/exhibit99120241114.htm,2026-09-05,verified-from-source,"Cash, cash equivalents and restricted cash approximately USD 118.7m at 2024-09-30. Going-concern language recurs in 10-Q/10-K filings from 2022 onward (10-K FY2024: https://www.sec.gov/Archives/edgar/data/1293971/000129397125000009/blue-20241231.htm)."
Lyfgenia,bluebird bio,2025-02-21,acquisition,bluebird bio agrees to be acquired by Carlyle and SK Capital (USD 3.00/share cash plus USD 6.84 CVR),Carlyle / SK Capital Partners,,lentiviral ex vivo,worldwide,"bluebird stockholders to receive $3.00 per share in cash and a contingent value right of $6.84 per share in cash payable upon achievement of a net sales milestone, contingent upon offer conditions ... bluebird's Board of Directors determined this transaction is in the best interest of stockholders following a comprehensive review of strategic alternatives","bluebird bio 8-K Ex-99.1, 'bluebird bio Announces Definitive Agreement to be Acquired by Carlyle and SK Capital' (2025-02-21)",https://www.sec.gov/Archives/edgar/data/1293971/000119312525031354/d885218dex991.htm,2026-09-05,verified-from-source,"Amended 2025-05-14 to let holders elect USD 5.00/share with no CVR (https://www.sec.gov/Archives/edgar/data/1293971/000119312525119447/d943903dex991.htm). Closed 2025-06-02: 'With the closing of the transaction, bluebird's common stock has ceased trading and will no longer be publicly listed' (https://www.sec.gov/Archives/edgar/data/1293971/000119312525132850/d39702dex991.htm). Headline equity value not stated in the release read; amount left blank."
Lyfgenia,bluebird bio,2025-06-12,going-private-or-delisting,bluebird bio files Form 15-12G terminating SEC registration after take-private,,,lentiviral ex vivo,US,(Form 15-12G certification and notice of termination of registration under Section 12(g); Rule 12g-4(a)(1)),bluebird bio Form 15-12G (2025-06-12),https://www.sec.gov/Archives/edgar/data/1293971/000119312525139516/d13380d1512g.htm,2026-09-05,verified-from-source,Public reporting of revenue and patient starts ended with the 10-Q for Q1 2025 (filed 2025-05-14).
Omisirge,Gamida Cell,2023-03-27,restructuring,Gamida Cell workforce reduction of c.17% to extend cash into Q3 2023,,,allogeneic cell,US,"On March 27, 2023, the Company announced a workforce reduction plan (the 'Plan'), pursuant to which it plans to downsize its current workforce by approximately 17% by the end of the second quarter of 2023. The Plan is being enacted to help extend the Company's financial resources through the third quarter of 2023","Gamida Cell 8-K (Item 2.05), 2023-03-27",https://www.sec.gov/Archives/edgar/data/1600847/000121390023022951/ea175734-8k_gamida.htm,2026-09-05,verified-from-source,Three weeks before FDA approval (2023-04-17); included as the launch-period cost base. Manufacturing model: expanded allogeneic cord blood.
Omisirge,Gamida Cell,2023-11-14,restructuring,Gamida Cell strategic review: exploring sale of assets or merger; going-concern doubt,Moelis & Company (adviser),,allogeneic cell,US,"To support a more fulsome commercial launch of Omisirge, we are exploring potential commercial or strategic options, including a sale of our assets or merger. ... These conditions raise substantial doubt about the Company's ability to continue as a going concern.",Gamida Cell 10-Q for quarter ended 2023-09-30 (filed 2023-11-14); 8-K Ex-99.1 Q3 2023 release,https://www.sec.gov/Archives/edgar/data/1600847/000121390023086948/f10q0923_gamidacell.htm,2026-09-05,verified-from-source,"Q3 2023 release: strategic review 'has resulted in oral and written proposals' (https://www.sec.gov/Archives/edgar/data/1600847/000121390023086413/ea188320ex99-1_gamida.htm). 10-K FY2023: 'To date, this strategic review process has not yielded any viable strategic alternatives.'"
Omisirge,Gamida Cell,2024-03-27,going-private-or-delisting,"Gamida Cell restructuring support agreement with Highbridge: equity cancelled, company to continue as private operating company",Highbridge Capital Management,,allogeneic cell,US,"on March 26, 2024, we entered into a Restructuring Support Agreement ... with certain funds managed by Highbridge Capital Management, LLC ... all outstanding shares of Gamida Cell Ltd. will be cancelled ... Gamida Cell Ltd. will continue to exist as a private operating company that is owned entirely by Highbridge.",Gamida Cell 8-K (Item 1.01) 2024-03-27; Gamida Cell 10-K FY2023 (2024-03-27),https://www.sec.gov/Archives/edgar/data/1600847/000121390024026228/ea0202631-8k_gamida.htm,2026-09-05,verified-from-source,"Voluntary restructuring proceeding in the District Court of Beersheba, Israel. Nasdaq delisting determination 2024-04-25, effective 2024-05-06 (Form 25-NSE https://www.sec.gov/Archives/edgar/data/1600847/000135445724000304/gmdadelistreason.txt); shares moved to OTC 2024-04-26; Form 15-12G filed 2024-05-24 (https://www.sec.gov/Archives/edgar/data/1600847/000121390024046488/ea0206826-1512g_gamida.htm). 10-Q Q1 2024: 'Our remaining employees will continue to support the commercialization of Omisirge'."
Otarmeni,Regeneron,,none-found,No sponsor event found 2026-04-23 to 2026-09-05,,,AAV local,US,,Regeneron 8-K/10-Q filings 2026; no Otarmeni-specific event.,,2026-09-05,not-found,"Dual-vector AAV, intracochlear."
Papzimeos,Precigen,,none-found,No sponsor event found 2025-08-14 to 2026-09-05,,,other,US,,"EDGAR full-text search, Precigen 8-K/10-Q 2025-08 onward for 'PAPZIMEOS' with 'workforce' (2 hits, 10-Q boilerplate only)",https://efts.sec.gov/LATEST/search-index?q=%22PAPZIMEOS%22%20%22workforce%22&dateRange=custom&startdt=2025-08-01,2026-09-05,not-found,Adenoviral immunotherapy.
Roctavian,BioMarin,2024-08-05,restructuring,"BioMarin narrows Roctavian to three countries (US, Germany, Italy) and cuts direct spend to c.USD 60m a year",,60,AAV systemic,worldwide,"By focusing commercial, research and manufacturing programs in three prioritized countries, including the United States, Germany and Italy, BioMarin anticipates reducing annual direct ROCTAVIAN expenses to approximately $60 million, beginning in 2025.","BioMarin 8-K Ex-99.1, Q2 2024 results (2024-08-05)",https://www.sec.gov/Archives/edgar/data/1048477/000104847724000125/earningsrelease-05aug24ex9.htm,2026-09-05,verified-from-source,"Amount is the targeted annual expense level, not a charge. Other launch markets not pursued."
Roctavian,BioMarin,2025-10-27,asset-sale-or-licence,"BioMarin announces plan to divest Roctavian, including out-licensing (no buyer found)",,,AAV systemic,worldwide,"the company announced its plan to pursue options to divest ROCTAVIAN, including exploring out-licensing opportunities.","BioMarin 8-K Ex-99.1, Q3 2025 results and corporate update (2025-10-27)",https://www.sec.gov/Archives/edgar/data/1048477/000104847725000104/earningsrelease-27oct25ex9.htm,2026-09-05,verified-from-source,"Attempted divestiture; superseded by the 2026-02-23 withdrawal after no qualified buyer was identified. Release: BioMarin 'plans to continue to make ROCTAVIAN commercially available in the U.S., Italy and Germany until next steps are finalized'."
Roctavian,BioMarin,2026-02-23,discontinuation-or-withdrawal,BioMarin voluntarily withdraws Roctavian from the market worldwide,,,AAV systemic,worldwide,"Following the company's October announcement to explore options to divest ROCTAVIAN, BioMarin undertook a comprehensive effort to identify a potential buyer. Despite these efforts, BioMarin was unable to identify a qualified buyer and has made the decision to voluntarily withdraw ROCTAVIAN from the market. ... This decision is not related to ROCTAVIAN's efficacy or safety profile.","BioMarin 8-K Ex-99.1, Q4/FY2025 results (2026-02-23); BioMarin company statement 'BioMarin Voluntarily Withdraws ROCTAVIAN from the Market' (2026-02-23)",https://www.biomarin.com/news/company-statements/biomarin-voluntarily-withdraws-roctavian-from-the-market/,2026-09-05,verified-from-source,Statement: company 'will maintain its commercial patient support program and honor existing outcomes-based agreements with payers' and is working 'with global regulatory authorities on the transition process'. Supply end date (May 2026 per project seed) is not stated in the statement text read. 8-K: https://www.sec.gov/Archives/edgar/data/1048477/000104847726000002/earningsrelease-23feb26ex9.htm
Roctavian,BioMarin,2026-02-23,restructuring,BioMarin records c.USD 240m Roctavian charges (USD 119m inventory write-off; USD 118m long-lived asset impairment),,240,AAV systemic,worldwide,$240 million during the quarter: $119 million inventory write-off in Cost of Sales and $118 million long-lived asset impairments in SG&A,"BioMarin 8-K Ex-99.1, Q4/FY2025 results (2026-02-23)",https://www.sec.gov/Archives/edgar/data/1048477/000104847726000002/earningsrelease-23feb26ex9.htm,2026-09-05,verified-from-source,Charges taken in Q4 2025 in connection with the withdrawal decision. 2026 guidance folds Roctavian into 'Other Revenues' of USD 100-125m with Kuvan and royalties.
Ryoncil,Mesoblast,,none-found,"No sponsor acquisition, divestiture, withdrawal, pause or Ryoncil-attributed restructuring found 2024-12-19 to 2026-09-05",,,allogeneic cell,US,,"EDGAR full-text search, Mesoblast 6-K/20-F 2025-2026 for 'Ryoncil' with 'restructuring' or 'workforce' (hits are annual-report boilerplate only, checked in the 2025 annual report exhibit)",https://www.sec.gov/Archives/edgar/data/1345099/000134509925000090/exhibit991annualreportno.htm,2026-09-05,not-found,Mesenchymal stromal cells.
Skysona,bluebird bio,2021-08-09,restructuring,bluebird bio winds down European operations and refocuses severe genetic disease business on the US,,,lentiviral ex vivo,EU,"bluebird plans an orderly wind down of its operations in Europe and to explore how to give patients in Europe access to its gene therapies, including potentially out-licensing the ex-U.S. rights to its three lead products ... 'bluebird's decision to focus on the U.S. market is driven by the challenges of achieving appropriate value recognition and market access for ZYNTEGLO in Europe, which makes bringing its transformative gene therapies like ZYNTEGLO and SKYSONA to patents and physicians in Europe untenable for a small innovative company at this time'","bluebird bio 8-K Ex-99.1, Q2 2021 results and operational update (2021-08-09)",https://www.sec.gov/Archives/edgar/data/1293971/000129397121000064/exhibit99120210809.htm,2026-09-05,verified-from-source,"Same release: FDA clinical hold on eli-cel studies after a safety report (July 2021). The 'three lead products' were Zynteglo, Skysona and Lyfgenia (lovo-cel). No ex-US out-licence was subsequently disclosed."
Skysona,bluebird bio,2021-11-18,discontinuation-or-withdrawal,EU marketing authorisation for Skysona withdrawn at bluebird's request four months after grant; no EU patients treated,European Commission,,lentiviral ex vivo,EU,"On 18 November 2021, the European Commission withdrew the marketing authorisation for Skysona (elivaldogene autotemcel) in the European Union (EU). The withdrawal was at the request of the marketing authorisation holder, bluebird bio (Netherlands) B.V., which notified the European Commission of its decision not to market the product in the EU for commercial reasons. ... No patients had been treated with Skysona since its marketing authorisation.","EMA EPAR page, Skysona, 'Withdrawn' status and overview",https://www.ema.europa.eu/en/medicines/human/EPAR/skysona,2026-09-05,verified-from-source,EU authorisation granted 2021-07-16; withdrawn before US approval (2022-09-16).
Skysona,bluebird bio,2022-04-05,restructuring,"bluebird bio restructuring: c.30% workforce reduction, up to USD 160m savings, cash runway into H1 2023",,160,lentiviral ex vivo,US,bluebird plans to reduce its workforce by approximately 30%. The restructuring is expected to extend the Company's cash runway into the first half of 2023.,"bluebird bio 8-K Ex-99.1, 'bluebird bio Initiates Restructuring to Reduce Operating Expenses' (2022-04-05)",https://www.sec.gov/Archives/edgar/data/1293971/000129397122000023/exhibit99120220405.htm,2026-09-05,verified-from-source,"Amount is targeted two-year savings ('up to $160 million'), not a charge. 10-Q Q1 2022 carried a going-concern warning."
Skysona,bluebird bio,2024-04-05,shipment-pause-or-restriction,FDA-approved label revision expanding haematologic malignancy boxed warning information for Skysona,FDA,,lentiviral ex vivo,US,"In April 2024, U.S. Prescribing Information for SKYSONA, including the boxed warning, was revised to include updated information on hematologic malignancies diagnosed in our clinical study patients, as well as other updates to monitoring procedures and alternative treatment options.","bluebird bio 10-K FY2024 (filed 2025-03-27); FDA CBER Skysona product page listing 'April 5, 2024 Approval Letter - SKYSONA'",https://www.fda.gov/vaccines-blood-biologics/skysona,2026-09-05,verified-from-source,"Boxed warning for haematologic malignancy existed from approval (2022-09-16). 10-K: as of 2025-03-25 'MDS, MDS relapse, or AML had been diagnosed in ten patients after administration of SKYSONA' (https://www.sec.gov/Archives/edgar/data/1293971/000129397125000009/blue-20241231.htm). Label restriction only; no supply pause."
Skysona,bluebird bio (Carlyle/SK Capital),2025-08-07,shipment-pause-or-restriction,FDA approves required labeling changes for increased risk of haematologic malignancy following Skysona,FDA,,lentiviral ex vivo,US,"FDA Approves Required Labeling Changes for Increased Risk of Hematologic Malignancy Following Treatment with Skysona (elivaldogene autotemcel) - August 7, 2025","FDA CBER Skysona product page, Safety Information and 'August 7, 2025 Approval Letter - SKYSONA'",https://www.fda.gov/vaccines-blood-biologics/skysona,2026-09-05,verified-from-source,Required (not voluntary) label change after the take-private; bluebird no longer files with the SEC so no sponsor statement is available.
Skysona,bluebird bio,2024-09-24,restructuring,"bluebird bio restructuring: c.25% workforce reduction, 20% cash opex cut, targeting break-even H2 2025",,,lentiviral ex vivo,US,The restructuring is expected to result in a 20% reduction in cash operating expenses when fully realized in Q3 2025 ... The initiative includes a reduction in the Company's workforce of approximately 25%. The Company's cash flow break-even target assumes scaling to approximately 40 drug product deliveries per quarter,"bluebird bio 8-K Ex-99.1, 'bluebird bio Initiates Restructuring Intended to Optimize Cost Structure' (2024-09-24)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000046/exhibit99120240923.htm,2026-09-05,verified-from-source,
Skysona,bluebird bio,2024-11-14,restructuring,bluebird bio cash-runway warning; going-concern doubt; lender (Hercules) engagement,Hercules Capital,,lentiviral ex vivo,US,bluebird and Hercules are engaging collaboratively as bluebird works to secure adequate cash runway to obtain additional financing and reach cash flow break-even.,"bluebird bio 8-K Ex-99.1, Q3 2024 results (2024-11-14); bluebird 10-K FY2024 ('There is substantial doubt regarding our ability to continue as a going concern')",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000076/exhibit99120241114.htm,2026-09-05,verified-from-source,"Cash, cash equivalents and restricted cash approximately USD 118.7m at 2024-09-30. Going-concern language recurs in 10-Q/10-K filings from 2022 onward (10-K FY2024: https://www.sec.gov/Archives/edgar/data/1293971/000129397125000009/blue-20241231.htm)."
Skysona,bluebird bio,2025-02-21,acquisition,bluebird bio agrees to be acquired by Carlyle and SK Capital (USD 3.00/share cash plus USD 6.84 CVR),Carlyle / SK Capital Partners,,lentiviral ex vivo,worldwide,"bluebird stockholders to receive $3.00 per share in cash and a contingent value right of $6.84 per share in cash payable upon achievement of a net sales milestone, contingent upon offer conditions ... bluebird's Board of Directors determined this transaction is in the best interest of stockholders following a comprehensive review of strategic alternatives","bluebird bio 8-K Ex-99.1, 'bluebird bio Announces Definitive Agreement to be Acquired by Carlyle and SK Capital' (2025-02-21)",https://www.sec.gov/Archives/edgar/data/1293971/000119312525031354/d885218dex991.htm,2026-09-05,verified-from-source,"Amended 2025-05-14 to let holders elect USD 5.00/share with no CVR (https://www.sec.gov/Archives/edgar/data/1293971/000119312525119447/d943903dex991.htm). Closed 2025-06-02: 'With the closing of the transaction, bluebird's common stock has ceased trading and will no longer be publicly listed' (https://www.sec.gov/Archives/edgar/data/1293971/000119312525132850/d39702dex991.htm). Headline equity value not stated in the release read; amount left blank."
Skysona,bluebird bio,2025-06-12,going-private-or-delisting,bluebird bio files Form 15-12G terminating SEC registration after take-private,,,lentiviral ex vivo,US,(Form 15-12G certification and notice of termination of registration under Section 12(g); Rule 12g-4(a)(1)),bluebird bio Form 15-12G (2025-06-12),https://www.sec.gov/Archives/edgar/data/1293971/000119312525139516/d13380d1512g.htm,2026-09-05,verified-from-source,Public reporting of revenue and patient starts ended with the 10-Q for Q1 2025 (filed 2025-05-14).
Yescarta,Kite Pharma,2017-08-28,acquisition,Gilead acquires Kite Pharma,Gilead Sciences,11900,autologous CAR-T,worldwide,"Gilead Sciences, Inc. (Nasdaq: GILD) and Kite Pharma, Inc. (Nasdaq: KITE) announced today that the companies have entered into a definitive agreement pursuant to which Gilead will acquire Kite for $180.00 per share in cash. The transaction, which values Kite at approximately $11.9 billion",Kite Pharma 8-K Ex-99.1 joint press release (2017-08-28),https://www.sec.gov/Archives/edgar/data/1510580/000119312517269386/d441582dex991.htm,2026-09-05,verified-from-source,"Closed 2017-10-03 (Kite 8-K https://www.sec.gov/Archives/edgar/data/1510580/000119312517302298/d458818d8k.htm), 15 days before Yescarta's FDA approval (2017-10-18); included because it fixed the sponsor at launch."
Yescarta,Kite / Gilead,2024-04-18,shipment-pause-or-restriction,FDA requires class-wide boxed warning for T-cell malignancies (BCMA- and CD19-directed autologous CAR-T),FDA,,autologous CAR-T,US,"In November 2023, the Food and Drug Administration (FDA) posted a safety communication to provide information about reports of T cell malignancies including chimeric antigen receptor CAR-positive lymphoma in patients who received treatment with BCMA- or CD19-directed autologous CAR T cell immunotherapies. ... FDA concluded that changes to the boxed warning are warranted","FDA CBER safety communication, 'FDA Requires Boxed Warning for T cell Malignancies Following Treatment with BCMA-Directed or CD19-Directed Autologous CAR T cell Immunotherapies' (2024-04-18)",https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed,2026-09-05,verified-from-source,"Class label change, not a sponsor decision; products listed on the FDA page: Abecma, Breyanzi, Carvykti, Kymriah, Tecartus, Yescarta. Label restriction only; no supply pause. Safety communication first posted November 2023; letters to sponsors January 2024."
Tecartus,Kite Pharma,2017-08-28,acquisition,Gilead acquires Kite Pharma,Gilead Sciences,11900,autologous CAR-T,worldwide,"Gilead Sciences, Inc. (Nasdaq: GILD) and Kite Pharma, Inc. (Nasdaq: KITE) announced today that the companies have entered into a definitive agreement pursuant to which Gilead will acquire Kite for $180.00 per share in cash. The transaction, which values Kite at approximately $11.9 billion",Kite Pharma 8-K Ex-99.1 joint press release (2017-08-28),https://www.sec.gov/Archives/edgar/data/1510580/000119312517269386/d441582dex991.htm,2026-09-05,verified-from-source,Predates Tecartus approval (2020-07-24) by almost three years; included because it fixed the sponsor at launch. Closing 2017-10-03.
Tecartus,Kite / Gilead,2024-04-18,shipment-pause-or-restriction,FDA requires class-wide boxed warning for T-cell malignancies (BCMA- and CD19-directed autologous CAR-T),FDA,,autologous CAR-T,US,"In November 2023, the Food and Drug Administration (FDA) posted a safety communication to provide information about reports of T cell malignancies including chimeric antigen receptor CAR-positive lymphoma in patients who received treatment with BCMA- or CD19-directed autologous CAR T cell immunotherapies. ... FDA concluded that changes to the boxed warning are warranted","FDA CBER safety communication, 'FDA Requires Boxed Warning for T cell Malignancies Following Treatment with BCMA-Directed or CD19-Directed Autologous CAR T cell Immunotherapies' (2024-04-18)",https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed,2026-09-05,verified-from-source,"Class label change, not a sponsor decision; products listed on the FDA page: Abecma, Breyanzi, Carvykti, Kymriah, Tecartus, Yescarta. Label restriction only; no supply pause. Safety communication first posted November 2023; letters to sponsors January 2024."
Tecelra,Adaptimmune,2025-07-28,asset-sale-or-licence,"Adaptimmune sells Tecelra, lete-cel, afami-cel and uza-cel to US WorldMeds for USD 55m cash plus up to USD 30m milestones",US WorldMeds,55,other,worldwide,"Purchase price is $55m in cash to be paid upon consummation of the sale with up to $30m in potential future payments upon achievement of certain milestones ... Tecelra will continue to be available to patients without interruption ... In connection with the Transaction, US WorldMeds intends to offer employment to approximately half of the Company's workforce. Upon consummation of the Transaction, Purchaser will pay $55,000,000 in cash, a portion of which Purchaser will pay directly to Hercules Capital, Inc. ... to repay all of Adaptimmune's indebtedness","Adaptimmune 8-K (Item 1.01) and Ex-99.1, 'Adaptimmune Announces Entry into Definitive Agreement for Sale of TECELRA ... to US WorldMeds' (2025-07-28)",https://www.sec.gov/Archives/edgar/data/1621227/000110465925071009/tm2521829d1_ex99-1.htm,2026-09-05,verified-from-source,"Manufacturing model: autologous TCR-T. Closed 2025-07-31 (8-K Ex-99.1 pro forma: 'Closing Date: July 31, 2025' https://www.sec.gov/Archives/edgar/data/1621227/000110465925072753/tm2522092d1_ex99-1.htm). 8-K body: https://www.sec.gov/Archives/edgar/data/1621227/000110465925071009/tm2521829d1_8k.htm. Less than a year after FDA approval (2024-08-01)."
Tecelra,Adaptimmune,2025-08-13,restructuring,Adaptimmune restructures after the asset sale; retains only PRAME and CD70 programmes,,,other,worldwide,"Following the transaction, Adaptimmune has repaid its debt and is restructuring to maximize value from remaining assets, including PRAME and CD70 directed T-cell therapies","Adaptimmune 8-K Ex-99.1, Q2 2025 business update (2025-08-13)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025011304/adap-20250813xex99d1.htm,2026-09-05,verified-from-source,"Delisting release 2025-10-20: 'Since closing the transaction on July 31, 2025, we have been restructuring to support the assets transferred to US WorldMeds.'"
Tecelra,Adaptimmune,2025-10-20,going-private-or-delisting,Adaptimmune board initiates voluntary Nasdaq delisting and SEC deregistration,Nasdaq,,other,worldwide,"Following the delisting of the Company's ADSs from Nasdaq, the Company intends to file a Form 15 with the SEC certifying that it has fewer than 300 shareholders of record, upon which the Company's filing obligations under the Exchange Act will immediately be suspended, including the obligations to file all periodic reports.","Adaptimmune 8-K Ex-99.1, 'Adaptimmune Announces Delisting from Nasdaq' (2025-10-20)",https://www.sec.gov/Archives/edgar/data/1621227/000110465925100618/adap-20251015xex99d1.htm,2026-09-05,verified-from-source,Form 15-12G filed 2025-11-13 (Rules 12g-4(a)(1) and 12h-3(b)(1)(i)) https://www.sec.gov/Archives/edgar/data/1621227/000110465925110847/tm2530966d1_1512g.htm. Tecelra revenue no longer publicly reported by any filer after Q2 2025 (US WorldMeds is private).
Tregzi,Orca Biosystems,,none-found,No sponsor event found 2026-07-01 to 2026-09-05,,,allogeneic cell,US,,Orca Bio is privately held; no SEC filings; observation window about two months.,,2026-09-05,not-found,
Tudriqev,Replimune,,none-found,No sponsor event found 2026-08-06 to 2026-09-05,,,oncolytic virus,US,,"EDGAR full-text search, Replimune 8-K 2025-07 onward for 'workforce' with 'reduction' (0 hits); observation window under one month.",https://efts.sec.gov/LATEST/search-index?q=%22workforce%22%20%22reduction%22&dateRange=custom&startdt=2025-07-01&forms=8-K,2026-09-05,not-found,
Vyjuvek,Krystal Biotech,,none-found,"No sponsor acquisition, divestiture, withdrawal, pause or restructuring found 2023-05-19 to 2026-09-05",,,other,worldwide,,"EDGAR full-text search, Krystal 8-K/10-Q/10-K 2023-2026 for 'VYJUVEK' with 'restructuring' (10 hits, all regulatory-risk boilerplate on reading the FY2025 10-K)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000016/krys-20251231.htm,2026-09-05,not-found,Topical HSV-1 vector.
Waskyra,Fondazione Telethon,,none-found,No sponsor event found 2025-12-09 to 2026-09-05,,,lentiviral ex vivo,worldwide,,Fondazione Telethon is a non-profit with no SEC filings; EMA page shows Waskyra authorised 2026-01-09; no withdrawal or transfer found.,,2026-09-05,not-found,
Zevaskyn,Abeona,2026-03-17,shipment-pause-or-restriction,Planned annual manufacturing facility shutdown pauses Zevaskyn treatments between December 2025 and late January 2026,,,other,US,mandatory annual manufacturing facility shutdown ... resuming manufacturing in late January 2026,"Abeona 8-K Ex-99.1, FY2025 results and corporate updates (2026-03-17); Abeona 8-K Ex-99.1 business update (2026-03-09)",https://www.sec.gov/Archives/edgar/data/318306/000149315226010408/ex99-1.htm,2026-09-05,verified-from-source,"Planned maintenance shutdown, not a commercial pause or retreat; logged for completeness. 2026-03-09 release: 'Since resuming manufacturing in late January 2026, multiple biopsies have been collected, a patient has completed treatment with ZEVASKYN' (https://www.sec.gov/Archives/edgar/data/318306/000149315226009299/ex99-1.htm). Manufacturing model: autologous gene-modified keratinocyte sheets."
Zolgensma,AveXis,2018-04-09,acquisition,Novartis acquires AveXis for USD 8.7bn,Novartis,8700,AAV systemic,worldwide,"Novartis to acquire AveXis for $218 per share in cash ... AveXis' lead product candidate, AVXS-101, expected to enhance Novartis's position as a gene therapy and neuroscience leader ... Transaction expected to be completed in mid-2018",AveXis 8-K Ex-99.1 (2018-04-09); Novartis media release 2018-04-09,https://www.sec.gov/Archives/edgar/data/1652923/000095015718000409/ex99-1.htm,2026-09-05,verified-from-source,Predates first approval (2019-05-24) by 13 months; included because it fixed the sponsor at launch. Completion 8-K dated 2018-05-15 https://www.sec.gov/Archives/edgar/data/1652923/000095015718000538/form8-k.htm. Novartis release: https://www.novartis.com/news/media-releases/novartis-enters-agreement-acquire-avexis-inc-usd-87-bn-transform-care-sma-and-expand-position-gene-therapy-and-neuroscience-leader
Zolgensma,Novartis Gene Therapies,2021-03-24,restructuring,"Novartis closes Longmont, Colorado gene therapy manufacturing plant (c.400 jobs) after overestimating capacity need",,,AAV systemic,US,(trade press paraphrase) Novartis ... said it decided its other sister plants can produce it ... after over anticipating the amount of capacity needed to produce gene therapies,"Fierce Pharma, 'Novartis is shutting down Colorado plant, laying off 400 employees after overestimating gene therapy demand'; Longmont Leader, 'Novartis to close Longmont plant by July, laying off 400 workers'",https://www.fiercepharma.com/manufacturing/after-overestimating-demand-novartis-shutting-down-colorado-plant,2026-09-05,provisional-from-snippet,"Fierce, Longmont Leader, BioSpace and Pharma Manufacturing pages all returned HTTP 403 or empty bodies; date (announcement 2021-03-24, closure by 2021-07-09) and headcount taken from search snippets. No Novartis primary release located; Novartis 20-F filings for 2021-2023 contain no 'Longmont' text (EDGAR full-text search). Site bought from AstraZeneca in 2019 for c. USD 30m."
