product_key,geography,family,n_estimates,n_verified_or_derived,low,high,low_incl_provisional,high_incl_provisional,by_disease,n_diseases,estimate_years,measure_types,indications,sources
zalmoxis,Germany,annual,1,1,100.0,140.0,100.0,140.0,HAPLOHSCT:100-140,1,2018,gatekeeper_eligible,haploHSCT,G-BA Beschluss ueber eine Aenderung der Arzneimittel-Richtli
zevaskyn,US,annual,1,1,11.0,11.0,11.0,11.0,RDEB:11-11,1,2023,annual_incident_eligible,RDEB_wounds,Derived here: Fine 2016 RDEB incidence 3.05 per million live
zevaskyn,US,prevalent,3,3,452.0,3850.0,452.0,3850.0,RDEB:452-3850,1,"2023,2024,2025","company_addressable,prevalent_eligible",RDEB_wounds,Abeona Therapeutics Form 10-K for FY2025 (filed 17 Mar 2026) | Derived here: Fine 2016 RDEB prevalence 1.35 per million x U
zolgensma,Australia,annual,2,2,12.0,29.0,12.0,29.0,SMA:12-29,1,2023,"annual_incident_eligible,gatekeeper_eligible",SMA_under2,"Derived from ABS births and PBAC-cited incidence | PBAC Public Summary Document, onasemnogene abeparvovec, Nove"
zolgensma,EU,annual,1,1,242.0,355.0,242.0,355.0,SMA:242-355,1,2024,annual_incident_eligible,SMA_under2,Derived from Eurostat 2024 births and incidence range
zolgensma,England,annual,2,1,37.0,52.0,37.0,65.0,SMA:37-52,1,"2021,2023",annual_incident_eligible,SMA_under2,"Derived from ONS 2023 births, NICE-cited incidence and eClin | NICE HST15, Onasemnogene abeparvovec for treating spinal mus"
zolgensma,Germany,annual,1,1,45.0,65.0,45.0,65.0,SMA:45-65,1,2021,gatekeeper_eligible,SMA_under2,G-BA Beschluss AM-RL Anlage XII Onasemnogen-Abeparvovec (Ueb
zolgensma,UK,annual,1,1,65.0,80.0,65.0,80.0,SMA:65-80,1,2021,annual_incident_eligible,SMA_under2,"Editorial, Gene therapy for spinal muscular atrophy: the ben"
zolgensma,US,annual,5,5,215.0,500.0,215.0,500.0,SMA:215-500,1,"2019,2023","annual_incident_eligible,company_addressable,gatekeeper_eligible",SMA_under2,"Derived from CDC 2023 births and Belter 2024 / historic inci | ICER, Spinraza and Zolgensma for SMA: Final Evidence Report, | ICER, Spinraza and Zolgensma for Spinal Muscular Atrophy: Fi | Novartis/AveXis press release, FDA approval of Zolgensma, 24"
zolgensma,US,prevalent,1,1,490.0,1000.0,490.0,1000.0,SMA:490-1000,1,2019,prevalent_eligible,SMA_under2,Derived from incident flow
zynteglo,England,prevalent,1,1,475.0,498.0,475.0,498.0,TDT:475-498,1,2024,gatekeeper_eligible,TDT,NICE TA1003 Exagamglogene autotemcel for treating transfusio
zynteglo,Germany,prevalent,1,1,20.0,150.0,20.0,150.0,TDT:20-150,1,2025,gatekeeper_eligible,TDT,G-BA Beschluss Anlage XII Exagamglogen autotemcel (transfusi
zynteglo,US,prevalent,2,2,1000.0,1500.0,1000.0,1500.0,TDT:1000-1500,1,"2022,2024","company_addressable,prevalent_eligible",TDT,"ICER, Betibeglogene Autotemcel for Beta Thalassemia: Effecti | bluebird bio, Inc. Form 10-K for fiscal year ended 2024-12-3"
zynteglo,multi: US+EU,prevalent,1,1,5000.0,5000.0,5000.0,5000.0,TDT:5000-5000,1,2023,company_addressable,TDT,"Vertex 8-K Ex-99.1, Vertex Reports Fourth Quarter and Full Y"
